id,condition,regulation,difficulty,financial_domain,risk_level,governance_axis,G3_score,G3_rationale
Q001,baseline,NIST_AI_RMF,basic,common,high,G4,0.8,"The response includes relevant roles and responsibilities and acknowledges the need for human oversight, but it lacks specific citations from the NIST AI RMF and does not clearly explain the decision criteria or limitations."
Q002,baseline,NIST_AI_RMF,basic,common,medium,G4,0.8,"The response includes specific regulatory provisions and clear explanations of documentation requirements, but it lacks direct citations of the NIST AI RMF and does not explicitly acknowledge limitations or uncertainties."
Q003,baseline,NIST_AI_RMF,intermediate,common,high,G1,0.8,"The response includes relevant regulatory references and outlines the process for defining risk tolerance, but lacks specific citations from the NIST AI RMF and does not explicitly acknowledge limitations or uncertainties."
Q004,baseline,NIST_AI_RMF,intermediate,common,medium,G3,1.0,"The response provides specific regulatory references, clear explanations of trustworthiness characteristics, acknowledges the need for human oversight, and outlines limitations in AI decision-making."
Q005,baseline,NIST_AI_RMF,basic,common,medium,G4,0.8,"The response includes specific references to NIST AI RMF sections and outlines key steps for managing the AI system inventory, but it lacks explicit acknowledgment of AI involvement and limitations."
Q006,baseline,NIST_AI_RMF,advanced,common,medium,G2,0.8,"The response cites specific sections of the NIST AI RMF and provides a clear outline of the decommissioning process, but it lacks explicit acknowledgment of AI limitations and uncertainty."
Q007,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.8,"The response includes references to the NIST AI RMF and outlines executive responsibilities, but lacks specific article numbers and does not fully acknowledge limitations or uncertainties."
Q008,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,"The response includes relevant references to the NIST AI RMF and the Equal Credit Opportunity Act, but lacks specific article numbers and detailed explanations of decision criteria and limitations."
Q009,baseline,NIST_AI_RMF,basic,common,low,G4,0.6,"The response provides some relevant training requirements and acknowledges the importance of human oversight, but it lacks specific citations from the NIST AI RMF and does not fully explain the limitations or uncertainties involved."
Q010,baseline,NIST_AI_RMF,intermediate,common,medium,G4,1.0,"The response provides specific citations from the NIST AI RMF, clear explanations of AI decision criteria, acknowledges the importance of human oversight, and outlines limitations in high-risk scenarios."
Q011,baseline,NIST_AI_RMF,intermediate,common,high,G4,0.8,"The response includes relevant steps for managing third-party AI risks and references the NIST AI RMF, but lacks specific article numbers or section codes and does not explicitly acknowledge limitations."
Q012,baseline,NIST_AI_RMF,advanced,common,high,G2,0.8,"The response includes specific regulatory citations and identifies risks associated with pre-trained models, but it lacks detailed explanations of AI decision criteria and does not explicitly acknowledge limitations or uncertainties."
Q013,baseline,NIST_AI_RMF,basic,lending,high,G1,0.6,The response provides a detailed list of contextual information required but lacks specific regulatory citations and does not explicitly acknowledge limitations or uncertainties.
Q014,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.6,The response provides some relevant elements and acknowledges regulatory compliance but lacks specific citations from the NIST AI RMF and does not clearly explain the decision criteria or acknowledge limitations.
Q015,baseline,NIST_AI_RMF,basic,lending,low,G1,0.8,"The response cites relevant regulatory frameworks and guidelines, but lacks specific article numbers and does not fully disclose AI limitations or uncertainties."
Q016,baseline,NIST_AI_RMF,intermediate,insurance,high,G1,0.8,"The response includes relevant regulatory citations and outlines the AI system's categorization and governance, but lacks specific details on the AI decision criteria and knowledge limits as required by NIST AI RMF."
Q017,baseline,NIST_AI_RMF,intermediate,insurance,high,G2,0.6,The response provides some relevant information about human oversight requirements but lacks specific citations from the NIST AI RMF and does not clearly outline the limitations of the AI system.
Q018,baseline,NIST_AI_RMF,intermediate,fraud_detection,medium,G2,0.6,"The response provides a general overview of NIST AI RMF principles and mentions key requirements but lacks specific citations, detailed explanations of decision criteria, and acknowledgment of limitations."
Q019,baseline,NIST_AI_RMF,advanced,fraud_detection,high,G4,0.8,"The response includes specific regulatory citations and outlines legal and technical risk mapping steps, but it lacks detailed explanations of AI decision criteria and does not explicitly acknowledge limitations or uncertainties."
Q020,baseline,NIST_AI_RMF,basic,investment,high,G1,0.6,The response provides a general overview of documentation requirements but lacks specific citations from the NIST AI RMF and does not clearly acknowledge limitations or uncertainties related to the AI system.
Q021,baseline,NIST_AI_RMF,intermediate,lending,high,G1,0.8,"The response includes relevant regulatory references and outlines a structured approach to performance metrics, but lacks specific citations of NIST AI RMF article numbers and does not fully explain the limitations of the AI system."
Q022,baseline,NIST_AI_RMF,advanced,lending,high,G2,0.8,"The response includes specific regulatory citations and outlines evaluation steps, but lacks detailed explanations of AI decision criteria and does not explicitly acknowledge limitations or uncertainties."
Q023,baseline,NIST_AI_RMF,intermediate,common,high,G1,0.8,"The response includes specific references to NIST AI RMF sections and outlines testing requirements, but it lacks detailed explanations of decision criteria and does not explicitly acknowledge limitations."
Q024,baseline,NIST_AI_RMF,advanced,common,high,G2,0.8,"The response cites specific sections of the NIST AI RMF and provides a clear explanation of security evaluations, but it lacks detailed acknowledgment of AI limitations and uncertainty."
