id,condition,regulation,difficulty,financial_domain,governance_axis,answer_relevancy,ar_pass,faithfulness,faith_pass,hallucination,hall_pass
Q299,baseline,EU_AI_ACT,advanced,common,G4,0.9333,True,,,,
Q250,baseline,EU_AI_ACT,advanced,common,G4,1.0,True,,,,
Q288,baseline,EU_AI_ACT,advanced,common,G2,0.9375,True,,,,
Q254,baseline,EU_AI_ACT,advanced,common,G2,1.0,True,,,,
Q233,baseline,EU_AI_ACT,advanced,common,G2,1.0,True,,,,
Q234,baseline,EU_AI_ACT,advanced,lending,G2,1.0,True,,,,
Q265,baseline,EU_AI_ACT,advanced,common,G4,0.9375,True,,,,
Q272,baseline,EU_AI_ACT,advanced,lending,G2,1.0,True,,,,
Q245,baseline,EU_AI_ACT,advanced,common,G2,1.0,True,,,,
Q204,baseline,EU_AI_ACT,advanced,common,G4,0.9444,True,,,,
Q256,baseline,EU_AI_ACT,basic,common,G3,1.0,True,,,,
Q267,baseline,EU_AI_ACT,basic,common,G4,1.0,True,,,,
Q201,baseline,EU_AI_ACT,basic,lending,G4,1.0,True,,,,
Q283,baseline,EU_AI_ACT,basic,common,G4,0.9444,True,,,,
Q230,baseline,EU_AI_ACT,basic,common,G4,0.7857,True,,,,
Q248,baseline,EU_AI_ACT,basic,common,G4,0.8824,True,,,,
Q216,baseline,EU_AI_ACT,basic,fraud_detection,G4,1.0,True,,,,
Q202,baseline,EU_AI_ACT,basic,insurance,G4,1.0,True,,,,
Q286,baseline,EU_AI_ACT,basic,common,G3,1.0,True,,,,
Q227,baseline,EU_AI_ACT,basic,common,G4,1.0,True,,,,
Q239,baseline,EU_AI_ACT,intermediate,common,G4,1.0,True,,,,
Q279,baseline,EU_AI_ACT,intermediate,insurance,G2,0.9444,True,,,,
Q291,baseline,EU_AI_ACT,intermediate,lending,G1,1.0,True,,,,
Q224,baseline,EU_AI_ACT,intermediate,lending,G2,0.9375,True,,,,
Q281,baseline,EU_AI_ACT,intermediate,common,G4,0.9231,True,,,,
Q210,baseline,EU_AI_ACT,intermediate,common,G3,0.7778,True,,,,
Q236,baseline,EU_AI_ACT,intermediate,common,G3,1.0,True,,,,
Q297,baseline,EU_AI_ACT,intermediate,investment,G4,0.9333,True,,,,
Q208,baseline,EU_AI_ACT,intermediate,lending,G2,0.9545,True,,,,
Q262,baseline,EU_AI_ACT,intermediate,common,G3,0.8462,True,,,,
Q148,baseline,KR_AI_BASIC_ACT,advanced,common,G4,1.0,True,,,,
Q197,baseline,KR_AI_BASIC_ACT,advanced,fraud_detection,G2,1.0,True,,,,
Q145,baseline,KR_AI_BASIC_ACT,advanced,common,G2,1.0,True,,,,
Q187,baseline,KR_AI_BASIC_ACT,advanced,lending,G2,0.8333,True,,,,
Q109,baseline,KR_AI_BASIC_ACT,advanced,common,G2,1.0,True,,,,
Q155,baseline,KR_AI_BASIC_ACT,advanced,lending,G4,0.9286,True,,,,
Q171,baseline,KR_AI_BASIC_ACT,advanced,common,G4,1.0,True,,,,
Q189,baseline,KR_AI_BASIC_ACT,advanced,common,G4,1.0,True,,,,
Q154,baseline,KR_AI_BASIC_ACT,advanced,common,G4,1.0,True,,,,
Q160,baseline,KR_AI_BASIC_ACT,advanced,common,G4,1.0,True,,,,
Q101,baseline,KR_AI_BASIC_ACT,basic,lending,G4,0.9412,True,,,,
Q179,baseline,KR_AI_BASIC_ACT,basic,lending,G4,1.0,True,,,,
Q158,baseline,KR_AI_BASIC_ACT,basic,common,G4,1.0,True,,,,
Q105,baseline,KR_AI_BASIC_ACT,basic,common,G3,1.0,True,,,,
Q127,baseline,KR_AI_BASIC_ACT,basic,common,G4,0.8667,True,,,,
Q120,baseline,KR_AI_BASIC_ACT,basic,common,G4,1.0,True,,,,
Q135,baseline,KR_AI_BASIC_ACT,basic,common,G4,1.0,True,,,,
Q110,baseline,KR_AI_BASIC_ACT,basic,common,G3,1.0,True,,,,
Q184,baseline,KR_AI_BASIC_ACT,basic,lending,G4,0.9048,True,,,,
Q177,baseline,KR_AI_BASIC_ACT,basic,common,G3,1.0,True,,,,
Q182,baseline,KR_AI_BASIC_ACT,intermediate,common,G4,1.0,True,,,,
Q176,baseline,KR_AI_BASIC_ACT,intermediate,lending,G2,0.9286,True,,,,
Q188,baseline,KR_AI_BASIC_ACT,intermediate,common,G4,1.0,True,,,,
Q123,baseline,KR_AI_BASIC_ACT,intermediate,common,G4,1.0,True,,,,
Q151,baseline,KR_AI_BASIC_ACT,intermediate,lending,G1,1.0,True,,,,
Q162,baseline,KR_AI_BASIC_ACT,intermediate,common,G3,1.0,True,,,,
Q136,baseline,KR_AI_BASIC_ACT,intermediate,common,G3,0.9333,True,,,,
Q164,baseline,KR_AI_BASIC_ACT,intermediate,common,G4,1.0,True,,,,
Q107,baseline,KR_AI_BASIC_ACT,intermediate,lending,G3,0.8889,True,,,,
Q161,baseline,KR_AI_BASIC_ACT,intermediate,lending,G3,0.9474,True,,,,
Q081,baseline,NIST_AI_RMF,advanced,common,G4,0.8824,True,,,,
Q046,baseline,NIST_AI_RMF,advanced,common,G1,1.0,True,,,,
Q076,baseline,NIST_AI_RMF,advanced,lending,G2,1.0,True,,,,
Q066,baseline,NIST_AI_RMF,advanced,common,G1,0.9474,True,,,,
Q050,baseline,NIST_AI_RMF,advanced,common,G4,1.0,True,,,,
Q088,baseline,NIST_AI_RMF,advanced,common,G4,1.0,True,,,,
Q063,baseline,NIST_AI_RMF,advanced,insurance,G4,0.9333,True,,,,
Q043,baseline,NIST_AI_RMF,advanced,common,G2,0.9167,True,,,,
Q032,baseline,NIST_AI_RMF,advanced,common,G2,0.9375,True,,,,
Q056,baseline,NIST_AI_RMF,advanced,lending,G1,0.8824,True,,,,
Q001,baseline,NIST_AI_RMF,basic,common,G4,0.9286,True,,,,
Q002,baseline,NIST_AI_RMF,basic,common,G4,1.0,True,,,,
Q036,baseline,NIST_AI_RMF,basic,common,G4,0.9333,True,,,,
Q015,baseline,NIST_AI_RMF,basic,lending,G1,1.0,True,,,,
Q009,baseline,NIST_AI_RMF,basic,common,G4,0.9375,True,,,,
Q053,baseline,NIST_AI_RMF,basic,common,G1,1.0,True,,,,
Q068,baseline,NIST_AI_RMF,basic,fraud_detection,G3,0.9091,True,,,,
Q061,baseline,NIST_AI_RMF,basic,common,G1,1.0,True,,,,
Q051,baseline,NIST_AI_RMF,basic,common,G3,1.0,True,,,,
Q005,baseline,NIST_AI_RMF,basic,common,G4,1.0,True,,,,
Q064,baseline,NIST_AI_RMF,intermediate,common,G4,0.8571,True,,,,
Q084,baseline,NIST_AI_RMF,intermediate,lending,G4,1.0,True,,,,
Q059,baseline,NIST_AI_RMF,intermediate,common,G2,0.7059,True,,,,
Q092,baseline,NIST_AI_RMF,intermediate,common,G4,0.7692,True,,,,
Q055,baseline,NIST_AI_RMF,intermediate,lending,G1,1.0,True,,,,
Q079,baseline,NIST_AI_RMF,intermediate,common,G4,1.0,True,,,,
Q026,baseline,NIST_AI_RMF,intermediate,common,G3,1.0,True,,,,
Q041,baseline,NIST_AI_RMF,intermediate,investment,G1,1.0,True,,,,
Q011,baseline,NIST_AI_RMF,intermediate,common,G4,1.0,True,,,,
Q058,baseline,NIST_AI_RMF,intermediate,common,G3,0.75,True,,,,
Q299,rag,EU_AI_ACT,advanced,common,G4,1.0,True,1.0,True,-1.0,False
Q250,rag,EU_AI_ACT,advanced,common,G4,1.0,True,1.0,True,-1.0,False
Q288,rag,EU_AI_ACT,advanced,common,G2,1.0,True,0.9231,True,-1.0,False
Q254,rag,EU_AI_ACT,advanced,common,G2,1.0,True,0.75,True,-1.0,False
Q233,rag,EU_AI_ACT,advanced,common,G2,1.0,True,1.0,True,-1.0,False
Q234,rag,EU_AI_ACT,advanced,lending,G2,1.0,True,0.9231,True,-1.0,False
Q265,rag,EU_AI_ACT,advanced,common,G4,0.7619,True,0.95,True,-1.0,False
Q272,rag,EU_AI_ACT,advanced,lending,G2,1.0,True,1.0,True,-1.0,False
Q245,rag,EU_AI_ACT,advanced,common,G2,1.0,True,1.0,True,-1.0,False
Q204,rag,EU_AI_ACT,advanced,common,G4,1.0,True,1.0,True,-1.0,False
Q256,rag,EU_AI_ACT,basic,common,G3,1.0,True,0.8182,True,-1.0,False
Q267,rag,EU_AI_ACT,basic,common,G4,1.0,True,1.0,True,-1.0,False
Q201,rag,EU_AI_ACT,basic,lending,G4,0.8667,True,1.0,True,-1.0,False
Q283,rag,EU_AI_ACT,basic,common,G4,0.6875,True,1.0,True,-1.0,False
Q230,rag,EU_AI_ACT,basic,common,G4,0.625,True,0.8182,True,-1.0,False
Q248,rag,EU_AI_ACT,basic,common,G4,1.0,True,0.9412,True,-1.0,False
Q216,rag,EU_AI_ACT,basic,fraud_detection,G4,0.8462,True,0.5,True,-1.0,False
Q202,rag,EU_AI_ACT,basic,insurance,G4,0.8889,True,0.8,True,-1.0,False
Q286,rag,EU_AI_ACT,basic,common,G3,1.0,True,0.8824,True,-1.0,False
Q227,rag,EU_AI_ACT,basic,common,G4,1.0,True,1.0,True,-1.0,False
Q239,rag,EU_AI_ACT,intermediate,common,G4,1.0,True,0.875,True,-1.0,False
Q279,rag,EU_AI_ACT,intermediate,insurance,G2,1.0,True,1.0,True,-1.0,False
Q291,rag,EU_AI_ACT,intermediate,lending,G1,1.0,True,1.0,True,-1.0,False
Q224,rag,EU_AI_ACT,intermediate,lending,G2,1.0,True,0.9,True,-1.0,False
Q281,rag,EU_AI_ACT,intermediate,common,G4,1.0,True,0.8125,True,-1.0,False
Q210,rag,EU_AI_ACT,intermediate,common,G3,1.0,True,0.8,True,-1.0,False
Q236,rag,EU_AI_ACT,intermediate,common,G3,0.8182,True,0.875,True,-1.0,False
Q297,rag,EU_AI_ACT,intermediate,investment,G4,0.8235,True,1.0,True,-1.0,False
Q208,rag,EU_AI_ACT,intermediate,lending,G2,1.0,True,1.0,True,-1.0,False
Q262,rag,EU_AI_ACT,intermediate,common,G3,1.0,True,0.9,True,-1.0,False
Q148,rag,KR_AI_BASIC_ACT,advanced,common,G4,1.0,True,1.0,True,-1.0,False
Q197,rag,KR_AI_BASIC_ACT,advanced,fraud_detection,G2,1.0,True,1.0,True,-1.0,False
Q145,rag,KR_AI_BASIC_ACT,advanced,common,G2,1.0,True,0.75,True,-1.0,False
Q187,rag,KR_AI_BASIC_ACT,advanced,lending,G2,1.0,True,0.7778,True,-1.0,False
Q109,rag,KR_AI_BASIC_ACT,advanced,common,G2,1.0,True,0.8182,True,-1.0,False
Q155,rag,KR_AI_BASIC_ACT,advanced,lending,G4,0.7333,True,0.9091,True,-1.0,False
Q171,rag,KR_AI_BASIC_ACT,advanced,common,G4,0.9167,True,1.0,True,-1.0,False
Q189,rag,KR_AI_BASIC_ACT,advanced,common,G4,0.9,True,0.7778,True,-1.0,False
Q154,rag,KR_AI_BASIC_ACT,advanced,common,G4,1.0,True,0.8,True,-1.0,False
Q160,rag,KR_AI_BASIC_ACT,advanced,common,G4,-1.0,False,1.0,True,-1.0,False
Q101,rag,KR_AI_BASIC_ACT,basic,lending,G4,1.0,True,0.9167,True,-1.0,False
Q179,rag,KR_AI_BASIC_ACT,basic,lending,G4,1.0,True,0.9,True,-1.0,False
Q158,rag,KR_AI_BASIC_ACT,basic,common,G4,0.9333,True,0.8667,True,-1.0,False
